,created_at,favorite_count,followers_count,friends_count,from_user,hashtag_count,id,links,location,mentions_count,retweet_count,statuses_count,text,url_count,verified
0,,,,,,,,,,,,,,,
1,Tue Feb 24 04:35:34 +0000 2015,0,2510,589,SwachhPolitics,1,570079565655117825,http://dailym.ai/1MNB4UU,TRUE,1,0,100611,"Spygate' police summon officials from top energy firms #CorporateEspionage
 http://t.co/F5ghilENrO via @MailOnline",1,FALSE
2,Tue Feb 24 04:35:34 +0000 2015,0,10930,465,vijethshetty333,1,570079565445353472,http://indiatoday.intoday.in/story/corporate-espionage-santanu-saikia-rs-10-000-crore-scam/1/420285.html,TRUE,1,42,780,"RT @IndiaToday: #CorporateEspionage: It's a Rs 10,000 crore scam, says Saikia | India Today 
http://t.co/IbCn97EZpW http://t.co/dW6kwHDNuQ",1,FALSE
3,Tue Feb 24 04:27:55 +0000 2015,0,5227,1016,Bharat_Putra,1,570077641346289665,,TRUE,1,23,49627,"RT @TimesNow: Oil Ministry leak case: Defence Ministry employee, identified as Virender arrested #CorporateEspionage",0,FALSE
4,Tue Feb 24 04:27:40 +0000 2015,0,2978,676,DesiNewsyTweets,1,570077578704363520,,FALSE,1,23,245401,"RT @TimesNow: Oil Ministry leak case: Defence Ministry employee, identified as Virender arrested #CorporateEspionage",0,FALSE
5,Tue Feb 24 04:26:18 +0000 2015,0,1793,1717,dilipjain1979,1,570077232674312193,,TRUE,1,23,75324,"RT @TimesNow: Oil Ministry leak case: Defence Ministry employee, identified as Virender arrested #CorporateEspionage",0,FALSE
6,Tue Feb 24 04:23:21 +0000 2015,0,1791,1,DRkumar_viswas,1,570076490743857153,,TRUE,1,23,4722,"RT @TimesNow: Oil Ministry leak case: Defence Ministry employee, identified as Virender arrested #CorporateEspionage",0,FALSE
7,Tue Feb 24 04:20:48 +0000 2015,4,20751,484,bwoyblunder,1,570075847048105984,http://timesofindia.indiatimes.com/corporate-espionage-in-ministries/top-stories/Corporate-espionage-Defence-ministry-employee-arrested/articleshow/46351244.cms,FALSE,0,6,48351,Now Defence Ministry employee arrested in #CorporateEspionage case. http://t.co/ahWAr2VRbD,1,FALSE
8,Tue Feb 24 04:17:19 +0000 2015,14,2078324,100,TimesNow,1,570074972133019648,,TRUE,0,23,76742,"Oil Ministry leak case: Defence Ministry employee, identified as Virender arrested #CorporateEspionage",0,TRUE
9,Tue Feb 24 04:15:09 +0000 2015,1,33099,115,manoramaonline,1,570074428001755138,,TRUE,0,1,50662,JUST IN: A man employed as casual worker in Defence Ministry arrested in #CorporateEspionage case: Delhi Police official,0,FALSE
10,Tue Feb 24 04:14:25 +0000 2015,0,1591,1266,sharsanj,1,570074242210856960,,FALSE,1,2,90000,"RT @Rezhasan: So #CorporateEspionage case now covers oil, power, coal &amp; defence ministries, 13 ppl arrested so far.",0,FALSE
11,Tue Feb 24 04:14:24 +0000 2015,0,1548,1713,narayanpuneet07,1,570074238435991552,,TRUE,1,1,67588,RT @ShwetaFocusNews: A man employed as casual worker in Defence Ministry arrested in corporate espionage case: Delhi Police official. #Corp…,0,FALSE
12,Tue Feb 24 04:11:09 +0000 2015,1,10149,247,Rezhasan,1,570073419347136512,,TRUE,0,2,76633,"So #CorporateEspionage case now covers oil, power, coal &amp; defence ministries, 13 ppl arrested so far.",0,FALSE
13,Tue Feb 24 04:10:38 +0000 2015,0,3112,141,ankit_abpnews,1,570073289839607808,,TRUE,1,0,3778,#CorporateEspionage case person arrested supplied fake id card n documents to co accused that help them to enter Ministry @abpnewstv,0,FALSE
14,Tue Feb 24 04:10:11 +0000 2015,0,22129,831,DeccanChronicle,1,570073176106864640,,TRUE,0,0,109642,#CorporateEspionage | A man employed as casual worker in Defence Ministry arrested in corporate espionage case: Delhi Police official: PTI,0,TRUE
15,Tue Feb 24 04:10:11 +0000 2015,0,8002,219,TheAsianAgeNews,1,570073176094306304,,TRUE,0,0,27676,#CorporateEspionage | A man employed as casual worker in Defence Ministry arrested in corporate espionage case: Delhi Police official: PTI,0,FALSE
16,Tue Feb 24 04:09:30 +0000 2015,7,1372091,151,the_hindu,1,570073002991230976,,TRUE,0,8,101888,Just in: A man employed as casual worker in Defence Ministry arrested in #CorporateEspionage case: Delhi Police official - PTI,0,FALSE
17,Tue Feb 24 04:09:30 +0000 2015,1,227969,31,TheHindu,1,570073002986962944,,FALSE,0,3,75402,Just in: A man employed as casual worker in Defence Ministry arrested in #CorporateEspionage case: Delhi Police official - PTI,0,FALSE
18,Tue Feb 24 04:08:17 +0000 2015,0,3112,141,ankit_abpnews,1,570072697947983872,,TRUE,0,0,3778,#CorporateEspionage case A person employd as lowr grade employee in Defence Ministry arrested in Petroleum ministry document leak@abpnewstv,0,FALSE
