label,followers_count,friends_count,statuses_count,mentions_count,retweet_count,favorite_count,hashtag_count,url_count,verified,location
C,2842,1648,131900,1,14,0,1,2,0,0
C,3211,7,79448,0,7,2,1,1,0,1
C,3211,7,79448,0,14,4,1,2,0,1
C,134990,438,31596,0,11,9,1,1,0,1
C,61019,485,299677,0,0,0,1,1,0,1
S,4512,116,56033,0,0,0,1,0,0,1
S,4011899,469,173277,0,9,7,1,0,1,1
S,2078146,100,76735,0,11,10,1,0,1,1
S,61019,485,299677,0,1,0,2,0,0,1
S,8751,2352,164226,1,1,0,3,0,0,1
S,516370,16,66216,0,3,1,2,0,1,1
C,115854,329,78081,0,1,0,1,1,0,1
S,3537,60,1744,0,1,0,1,0,0,0
S,3537,60,1744,1,1,0,1,0,0,0
C,14760,475,26996,1,7,0,1,1,0,1
S,20790,801,17274,0,9,3,1,0,0,1
S,2979,676,245380,1,3,0,1,0,0,0
S,227952,31,75397,0,3,1,1,0,0,0
S,1371986,151,101883,0,3,5,1,0,0,1
S,2626,379,48663,1,21,0,1,0,0,1
S,2078146,100,76735,0,21,11,1,0,1,1
C,21841,701,121590,0,2,0,1,1,0,1
S,616696,9,60943,0,2,5,1,1,1,1
C,1497295,68,91009,0,3,6,1,1,1,1
N,134145,302,6175,2,9,0,1,1,1,1
N,12911,2073,31830,0,10,3,1,0,0,1
N,6282,2365,36498,0,22,3,1,0,0,1
S,3211,7,79448,0,7,2,1,1,0,1
C,3537,60,1744,0,0,0,1,1,0,0
C,134990,438,31596,0,11,9,1,1,0,1
C,61019,485,299677,0,0,0,1,1,0,1
S,4512,116,56033,0,0,0,1,0,0,1
S,4011899,469,173277,0,9,7,1,0,1,1
S,8751,2352,164226,1,1,0,3,0,0,1
C,115854,329,78081,0,1,0,1,1,0,1
S,3537,60,1744,0,1,0,1,0,0,0
S,3537,60,1744,1,1,0,1,0,0,0
C,21841,701,121590,0,1,0,1,1,0,1
S,2979,676,245380,1,3,0,1,0,0,0
S,227952,31,75397,0,3,1,1,0,0,0
S,3110,141,3778,1,0,0,1,0,0,1
S,2078146,100,76735,0,21,11,1,0,1,1
S,8751,2352,164226,1,45,0,1,0,0,1
C,21841,701,121590,0,2,0,1,1,0,1
S,14984,294,25374,1,338,0,1,0,0,1
C,16670,233,18240,1,168,0,1,1,0,1
S,4916,851,45886,1,146,0,2,0,0,1
C,5814,950,111236,1,46,0,1,0,0,0
C,9515,9290,104011,1,124,0,1,1,0,1
C,8706,804,30321,1,124,0,1,1,0,1
C,2864,1668,12834,1,124,0,1,1,0,1
S,9910,3419,136410,1,142,0,1,0,0,0
S,6769,929,259837,2,5,0,1,0,0,1
C,5630,3808,10179,1,6,0,1,0,0,1
