label,followers_count,friends_count,statuses_count,mentions_count,retweet_count,favorite_count,hashtag_count,url_count,verified,location
C,-0.3076,0.3034,0.7184,1,-0.1165,-0.3506,1,2,0,0
C,-0.3070,-0.5634,-0.0002,0,-0.2473,0.1333,1,1,0,1
C,-0.3070,-0.5634,-0.0002,0,-0.1165,0.6172,1,2,0,1
C,-0.0879,-0.3358,-0.6558,0,-0.1725,1.8271,1,1,0,1
C,-0.2109,-0.3109,3.0169,0,-0.3781,-0.3506,1,1,0,1
S,-0.3048,-0.5059,-0.3210,0,-0.3781,-0.3506,1,0,0,1
S,6.3580,-0.3194,1.2852,0,-0.2099,1.3432,1,0,1,1
S,3.1429,-0.5143,-0.0374,0,-0.1725,2.0691,1,0,1,1
S,-0.2109,-0.3109,3.0169,0,-0.3594,-0.3506,2,0,0,1
S,-0.2978,0.6753,1.1612,1,-0.3594,-0.3506,3,0,0,1
S,0.5462,-0.5587,-0.1815,0,-0.3220,-0.1087,2,0,1,1
C,-0.1197,-0.3933,-0.0190,0,-0.3594,-0.3506,1,1,0,1
S,-0.3064,-0.5354,-1.0648,0,-0.3594,-0.3506,1,0,0,0
S,-0.3064,-0.5354,-1.0648,1,-0.3594,-0.3506,1,0,0,0
C,-0.2878,-0.3162,-0.7188,1,-0.2473,-0.3506,1,1,0,1
S,-0.2777,-0.1440,-0.8520,0,-0.2099,0.3753,1,0,0,1
S,-0.3074,-0.2100,2.2731,1,-0.3220,-0.3506,1,0,0,0
S,0.0667,-0.5508,-0.0557,0,-0.3220,-0.1087,1,0,0,0
S,1.9688,-0.4874,0.3071,0,-0.3220,0.8592,1,0,0,1
S,-0.3079,-0.3669,-0.4220,1,0.0144,-0.3506,1,0,0,1
S,3.1429,-0.5143,-0.0374,0,0.0144,2.3110,1,0,1,1
C,-0.2760,-0.1968,0.5771,0,-0.3407,-0.3506,1,1,0,1
S,0.7130,-0.5624,-0.2537,0,-0.3407,0.8592,1,1,1,1
C,2.1771,-0.5312,0.1582,0,-0.3220,1.1012,1,1,1,1
N,-0.0893,-0.4076,-1.0041,2,-0.2099,-0.3506,1,1,1,1
N,-0.2908,0.5279,-0.6526,0,-0.1912,0.3753,1,0,0,1
N,-0.3019,0.6822,-0.5886,0,0.0330,0.3753,1,0,0,1
S,-0.3070,-0.5634,-0.0002,0,-0.2473,0.1333,1,1,0,1
C,-0.3064,-0.5354,-1.0648,0,-0.3781,-0.3506,1,1,0,0
C,-0.0879,-0.3358,-0.6558,0,-0.1725,1.8271,1,1,0,1
C,-0.2109,-0.3109,3.0169,0,-0.3781,-0.3506,1,1,0,1
S,-0.3048,-0.5059,-0.3210,0,-0.3781,-0.3506,1,0,0,1
S,6.3580,-0.3194,1.2852,0,-0.2099,1.3432,1,0,1,1
S,-0.2978,0.6753,1.1612,1,-0.3594,-0.3506,3,0,0,1
C,-0.1197,-0.3933,-0.0190,0,-0.3594,-0.3506,1,1,0,1
S,-0.3064,-0.5354,-1.0648,0,-0.3594,-0.3506,1,0,0,0
