,created_at,favorite_count,followers_count,friends_count,from_user,hashtag_count,id,links,location,mentions_count,retweet_count,statuses_count,text,url_count,verified
0,,,,,,,,,,,,,,,
1,Wed Feb 25 17:20:05 +0000 2015,1,1662,1606,manishpcp,2,570634348598202368,,True,0,0,4469,Why suddenly everyone have forgotten #CorporateEspionage ?Does itmean congress issuccessful in deviating people attention again #LandBillWar,0,False
2,Wed Feb 25 16:49:16 +0000 2015,0,1662,1606,manishpcp,1,570626594957430784,,True,1,1,4469,@25rby Everyone is trying to hide #CorporateEspionage . It's how it worked earlier too. Everytime congress was in trouble during UPA,0,False
3,Wed Feb 25 16:30:05 +0000 2015,0,1295,1771,ma28nav,1,570621766160117760,,True,1,49,20850,RT @iMac_too: Ministers used to live SMS favorite journos from Cabinet meetings. That was the extent of rot in UPA. #CorporateEspionage,0,False
4,Wed Feb 25 06:25:07 +0000 2015,1,2052,198,RightWing_Rants,1,570469521468858368,,True,1,0,19284,"Whether Active Or Not, #CorporateEspionage Proves Journos r Just Glorified Dalaals. Who Knows This Better Than Wheeler-Dealer @ShekharGupta!",0,False
5,Wed Feb 25 04:38:00 +0000 2015,25,92683,738,ShekharGupta,1,570442564827897856,,True,0,58,2285,Journos must resist govt using #CorporateEspionage to block their access. Real que: in reform-RTI regime why shd oil min have many secrets?,0,True
6,Tue Feb 24 17:36:48 +0000 2015,0,5976,4017,ls2008,1,570276166994522112,,False,1,7,84128,RT @Twitvention: Its an open secret that Ambanis always influenced the budget &amp; knew its contents before anybody else did. Not this time. #…,0,False
7,Tue Feb 24 05:54:59 +0000 2015,1,1712,227,SplendidlyDull,1,570099548867072000,,True,0,1,13551,Almost all media houses hv unsustainable business-model. So action on #CorporateEspionage &amp; NGO is like a death-blow to der black-activities,0,False
8,Sun Feb 22 14:29:24 +0000 2015,0,3745,1405,Aneela_Nadar,2,569504231301914626,,True,1,89,79450,RT @maulinshah9: #CorporateEspionage &amp; #Petrogate are not uncommon when Govt. loves to play in the pockets of favorite Industrialists. http…,0,False
9,Sun Feb 22 11:41:59 +0000 2015,27,11500,1269,ashwinskumar,2,569462098612264960,,True,1,5,42933,"Was a great pleasure to meet @nistula today :)
Grab a copy of her book #KissAndTell if u haven't! #CorporateEspionage http://t.co/qOkoxARcH8",0,False
10,Sun Feb 22 07:31:25 +0000 2015,0,11719,56,mapuna14,1,569399045187350528,,True,1,30,12131,RT @DKMahant: I don't think any big industrialist is involved in #CorporateEspionage These lower level guys stole papers to make paper boat…,0,False
11,Sun Feb 22 10:55:09 +0000 2015,4,28557,17769,NewsroomPostCom,1,569450315587592192,http://www.newsroompost.com/166565/those-who-subverted-system-will-be-punished/  ,True,0,168,24596,"#CorporateEspionage 

Those who subverted system will be punished
http://t.co/mA4MZ4Bt9f http://t.co/WPpG89c8z3",1,False
12,Sun Feb 22 06:01:19 +0000 2015,14,3740,640,DKMahant,1,569376367726342145,,True,0,30,52205,I don't think any big industrialist is involved in #CorporateEspionage These lower level guys stole papers to make paper boats you see.,0,False
13,Fri Feb 27 05:22:13 +0000 2015,0,42024,1120,upma23,1,571178466835435520,,False,1,22,287055,RT @mayankjain100: The leakage by Essar could be in response to the unprecedented investigations ordered by the govt in #CorporateEspionage…,0,False
14,Wed Feb 25 19:00:32 +0000 2015,0,22063,702,Oneindia,1,570659629245444097,http://www.oneindia.com/feature/interview-on-corporate-espionage-permanent-bureaucracy-not-politics-is-to-blame-1665321.html  ,True,0,1,122581,"#Corporateespionage: 'Permanent bureaucracy not politics is to blame'
http://t.co/ZkZ1dNgHaH",1,False
15,Wed Feb 25 04:51:07 +0000 2015,0,18986,531,ranganaathan,1,570445864226852864,,True,3,73,170870,"RT @DrGPradhan: PIMP ""Santanu"" arrested in #CorporateEspionage is CLOSE aid of @MPNaveenJindal &amp; use 2 pass info 2 @ArvindKejriwal http://t…",0,False
16,Fri Feb 27 04:43:38 +0000 2015,0,3215,7,ratanmaitra,1,571168758753939458,http://www.newslaundry.com/2015/02/24/the-man-who-knew-too-much/  ,True,0,2,79719,"#CorporateEspionage : Santanu Saikia, The Man Who Knew Too Much 

http://t.co/Be3yg4pG5Z",1,False
17,Thu Feb 26 01:34:26 +0000 2015,0,2876,461,manishkbaid,1,570758757723938816,,True,0,6,68221,This is how UPA handled the case against RIL without anything getting leaked. #CorporateEspionage  http://t.co/FswlO2cMgs,0,False
18,Wed Feb 25 07:06:17 +0000 2015,1,10178,248,Rezhasan,1,570479880875450369,,True,0,9,76881,So the buzz is #CorporateEspionage case could expand to another high-profile ministry with huge procurement budget.,0,False
19,Thu Feb 26 09:23:01 +0000 2015,0,5079,5011,Carlfletcher15,7,570876679922556928,,True,0,3,82911,Someone new what was going on !! #monsters #lies #PedoAlert #corruption #CorporateEspionage #GreedIsGood #politicians http://t.co/GTq1XaYe0C,0,False
