,created_at,favorite_count,followers_count,friends_count,from_user,hashtag_count,id,links,location,mentions_count,retweet_count,statuses_count,text,url_count,verified
0,,,,,,,,,,,,,,,
1,Sat Apr 04 18:04:46 +0000 2015,0,4862,812,JanLokPaal,1,584416333191720960,,1,1,0,214843,@narendramodi  Stealing secret Govt Docs by RIL is Stupid Ambani cud hv sent Request msg2 Modi  #CorporateEspionage http://t.co/9HIkZXOUp2,0,False
2,Thu Apr 02 07:32:26 +0000 2015,0,32,69,BiswadeepMaitra,2,583532426950901760,,1,1,0,433,"@UPESDehradun ""It was a Rs.10,000 crore scam"" #IndustryQuotient #CorporateEspionage",0,False
3,Thu Apr 02 04:50:26 +0000 2015,0,583,149,GauravBhatiaSP,1,583491658718650368,,0,1,87,66,"RT @TimesNow: There is a powerful company more powerful than the BJP, that's why they are not named: Gaurav Bhatia, SP to BJP. #CorporateEs…",0,False
4,Thu Mar 12 12:59:43 +0000 2015,0,354,193,JasoosKutty,1,576004643680960513,,1,0,0,4265,"CBI didn't like Delhi police having all the fun, so they also filed a corporate espionage case #OilMinLeak",0,False
5,Sat Feb 21 19:03:36 +0000 2015,0,4696,1385,activator_n,1,569210850302504960,,0,0,0,21688,"#OilMinLeak | At least 15 joint secy level officials with PMO
 under scanner: Sources",0,False
6,Sat Feb 21 12:43:50 +0000 2015,0,26,300,KamatAmish,1,569115277457166337,,1,0,0,419,#OilMinLeak let's see how 5 corporate employees are disowned in a what probably could be multi billion scam,0,False
7,Sat Feb 21 09:49:06 +0000 2015,0,440,424,joydeepghosh,3,569071306655686656,,0,0,0,10356,"#BREAKINGNEWS #CorporateEspionage case: It's Rs 10,000 cr scam, claims arrested journalist Santanu Saikia #OilMinLeak",0,False
8,Fri Feb 20 14:26:31 +0000 2015,1,154,144,goyalnishant,2,568778728882319360,,0,0,0,6732,Why were they stolen? Could've just rung ministries and they would've rattled out everything by themselves! #CorporateEspionage #OilMinLeak,0,False
9,Mon Mar 09 05:43:42 +0000 2015,0,228,539,ENIN_NW_Nationa,0,574807755384446976,http://bit.ly/1Hkx2z9  ,1,0,0,27802,Petroleum Ministry documents leak case: Delhi Police arrests two energy consultants: New Delhi: In a development… http://t.co/GfOdz1XKDb,1,False
10,Tue Feb 24 06:47:54 +0000 2015,0,427,1801,twittyrashmi,0,570112866562387969,http://wp.me/p4B7Fx-dxk  ,1,0,0,25128,Defence Ministry Worker Arrested For Helping Others Leak Sensitive Petroleum Ministry Papers http://t.co/zpuSsbiDLy,1,False
